owner_name,property_address,mailing_address,mail_city,APN,LastSaleDate,LastSaleValue,BorrowerName,ppp_city,ppp_state,CurrentApprovalAmount,ForgivenessAmount,LoanStatus,DateApproved,OriginatingLender,OriginatingLenderState,NAICSCode,BusinessType
BARAKAH LLC,8161 SAN ANGELO DR,9581 WESTWOOD DR,WESTMINSTER,107-773-08,06/08/2007,0.0,"BARAKAH, LLC",FAIRFIELD,CT,13000.0,13097.95,Paid in Full,06/29/2020,First County Bank,CT,445310,Limited  Liability Company(LLC)
DBS-ENTERPRISES LLC,2881 COAST CIR APT A,8820 W RUSSELL RD STE 160,LAS VEGAS,936-770-37,06/30/2022,1780000.0,DBS ENTERPRISES LLC,CAMDEN WYOMING,DE,78693.87,79377.32,Paid in Full,04/28/2020,"Wilmington Savings Fund Society, FSB",DE,811121,Limited  Liability Company(LLC)
SAMPSON VENTURES LLC,17682 SAMPSON LN,12221 POPLAR ST STE 3,HESPERIA,165-331-17,01/29/2025,0.0,"SAMPSON VENTURES, LLC",PANAMA CITY,FL,35480.0,35757.93,Paid in Full,04/29/2020,Trustmark National Bank,MS,531210,Limited  Liability Company(LLC)
JJ HOLDINGS LLC,20331 BLUFFSIDE CIR # A204,6000 HACKBERRY CT,FRISCO,936-178-59,12/12/2019,0.0,"J&J HOLDINGS, LLC",Shakopee,MN,34837.0,35298.95,Paid in Full,03/20/2021,"Bank of America, National Association",NC,238910,Limited  Liability Company(LLC)
INSIGHT PROPERTIES LLC,3151 AIRWAY AVE STE M3,3151 AIRWAY AVE STE J2,COSTA MESA,938-940-68,09/28/2005,,INSIGHT PROPERTIES LLC,SAINT CHARLES,MO,14500.0,14622.44,Paid in Full,04/28/2020,First Mid Bank and Trust National Association,MO,531210,Limited  Liability Company(LLC)
FRR LLC,17711 CRABB LN,12304 MCCANN DR,SANTA FE SPRINGS,165-291-14,,0.0,"FRR, LLC",Burlington,IA,8600.0,8658.77,Paid in Full,06/29/2020,MidWestOne Bank,IA,238220,Limited  Liability Company(LLC)
FRR LLC,17712 CRABB LN,12304 MCCANN DR,SANTA FE SPRINGS,165-291-15,,0.0,"FRR, LLC",Burlington,IA,8600.0,8658.77,Paid in Full,06/29/2020,MidWestOne Bank,IA,238220,Limited  Liability Company(LLC)
JS PROPERTIES LLC,121 MAIN ST,4475 MISSION BLVD STE 226,SAN DIEGO,024-153-17,03/22/2024,0.0,JS PROPERTIES LLC,Dix Hills,NY,17575.0,17757.97,Paid in Full,06/23/2020,Celtic Bank Corporation,UT,541990,Sole Proprietorship
SDR LLC,5902 CHINOOK DR,8861 KATELLA AVE,ANAHEIM,195-223-06,03/12/2020,770000.0,SDR LLC,Salt Lake City,UT,6796.87,6831.32,Paid in Full,05/07/2021,Mountain America FCU,UT,541990,Corporation
SDR LLC,15421 HANOVER LN,8861 KATELLA AVE,ANAHEIM,145-151-16,,0.0,SDR LLC,Salt Lake City,UT,6796.87,6831.32,Paid in Full,05/07/2021,Mountain America FCU,UT,541990,Corporation
SDR LLC,16691 BARTLETT LN,8861 KATELLA AVE,ANAHEIM,142-412-08,,0.0,SDR LLC,Salt Lake City,UT,6796.87,6831.32,Paid in Full,05/07/2021,Mountain America FCU,UT,541990,Corporation
SDR LLC,6561 SORENTO CIR,18437 STONEGATE LN,ROWLAND HEIGHTS,145-181-09,,0.0,SDR LLC,Salt Lake City,UT,6796.87,6831.32,Paid in Full,05/07/2021,Mountain America FCU,UT,541990,Corporation
FOCUS REALTY LLC,4340 VON KARMAN AVE STE 200,19100 VON KARMAN AVE STE 570,NEWPORT BEACH,934-057-12,10/27/2017,1912000.0,FOCUS REALTY LLC,DASSEL,MN,7500.0,7574.79,Paid in Full,05/15/2020,Royal CU,WI,531210,Limited  Liability Company(LLC)
FOCUS REALTY LLC,4340 VON KARMAN AVE STE 201,19100 VON KARMAN AVE STE 570,NEWPORT BEACH,934-057-13,,,FOCUS REALTY LLC,DASSEL,MN,7500.0,7574.79,Paid in Full,05/15/2020,Royal CU,WI,531210,Limited  Liability Company(LLC)
FOCUS REALTY LLC,4340 VON KARMAN AVE STE 211,19100 VON KARMAN AVE STE 570,NEWPORT BEACH,934-057-23,,,FOCUS REALTY LLC,DASSEL,MN,7500.0,7574.79,Paid in Full,05/15/2020,Royal CU,WI,531210,Limited  Liability Company(LLC)
JJ HOLDINGS LLC,20331 BLUFFSIDE CIR # A204,6000 HACKBERRY CT,FRISCO,936-178-59,12/12/2019,0.0,J&J HOLDINGS LLC,Florence,MS,7500.0,7520.75,Paid in Full,04/29/2021,Regions Bank,AL,541618,Limited  Liability Company(LLC)
DRIVE LLC,3080 AIRWAY AVE STE 104,PO BOX 3639,NEWPORT BEACH,938-980-55,,,DRIVE LLC,HUBBARD,OH,21600.0,21787.2,Paid in Full,05/01/2020,"PNC Bank, National Association",DE,561990,Subchapter S Corporation
BARAKAH LLC,8161 SAN ANGELO DR,9581 WESTWOOD DR,WESTMINSTER,107-773-08,06/08/2007,0.0,BARAKAH LLC,TACOMA,WA,40770.0,41198.92,Paid in Full,05/01/2020,"Bank of America, National Association",NC,,Limited  Liability Company(LLC)
S & S 1 LLC,9514 BICKLEY DR # 8,1733 MONROVIA AVE STE V,COSTA MESA,931-930-16,01/17/1996,0.0,"SS1, LLC",AVON LAKE,OH,20000.0,20187.83,Paid in Full,08/03/2020,"JPMorgan Chase Bank, National Association",IL,511210,Limited  Liability Company(LLC)
DRIVE LLC,3080 AIRWAY AVE STE 104,PO BOX 3639,NEWPORT BEACH,938-980-55,,,DRIVE LLC,Hubbard,OH,22557.0,22694.85,Paid in Full,03/12/2021,"PNC Bank, National Association",DE,511120,Subchapter S Corporation
PARS LLC,200 HARBOR WOODS PL,3117 S COLUMBIA CIR,TULSA,934-040-58,06/14/2018,0.0,PARS LLC,FARMINGTON HILLS,MI,13692.0,13843.33,Paid in Full,05/01/2020,"JPMorgan Chase Bank, National Association",IL,,Corporation
GARDEN RANCH LLC,12888 WESTERN AVE,1166 REDFERN CT,CONCORD,931-432-21,06/12/2019,365000.0,GARDEN RANCH LLC,COLORADO SPRINGS,CO,17807.0,17973.27,Paid in Full,05/01/2020,"JPMorgan Chase Bank, National Association",IL,,Limited  Liability Company(LLC)
SDR LLC,5902 CHINOOK DR,8861 KATELLA AVE,ANAHEIM,195-223-06,03/12/2020,770000.0,SDR LLC,SALT LAKE CITY,UT,6200.0,6262.17,Paid in Full,05/20/2020,Mountain America FCU,UT,541990,Corporation
SDR LLC,15421 HANOVER LN,8861 KATELLA AVE,ANAHEIM,145-151-16,,0.0,SDR LLC,SALT LAKE CITY,UT,6200.0,6262.17,Paid in Full,05/20/2020,Mountain America FCU,UT,541990,Corporation
SDR LLC,16691 BARTLETT LN,8861 KATELLA AVE,ANAHEIM,142-412-08,,0.0,SDR LLC,SALT LAKE CITY,UT,6200.0,6262.17,Paid in Full,05/20/2020,Mountain America FCU,UT,541990,Corporation
SDR LLC,6561 SORENTO CIR,18437 STONEGATE LN,ROWLAND HEIGHTS,145-181-09,,0.0,SDR LLC,SALT LAKE CITY,UT,6200.0,6262.17,Paid in Full,05/20/2020,Mountain America FCU,UT,541990,Corporation
WILDCAT PROPERTIES LLC,200 PACIFIC COAST HWY UNIT 345,4800 COLLEGE BLVD STE 204,FARMINGTON,939-506-09,07/02/2010,600000.0,WILDCAT PROPERTIES LLC,Greenfield Center,NY,4000.0,4040.44,Paid in Full,06/03/2020,WebBank,UT,532289,Limited  Liability Company(LLC)
ARABELLA LLC,17162 BLUEWATER LN # 165,18340 YORBA LINDA BLVD # 107-24,YORBA LINDA,933-831-65,11/17/1997,0.0,ARABELLA LLC,Skaneateles,NY,4303.16,4329.8,Paid in Full,05/01/2020,Celtic Bank Corporation,UT,812112,Limited  Liability Company(LLC)
L & E HOLDINGS LLC,10541 LAKESIDE DR S # 159,9932 CRIS AVE,ANAHEIM,939-881-59,12/19/1997,0.0,L & E HOLDINGS LLC,GROVE,OK,4700.0,4743.21,Paid in Full,04/07/2020,Arvest Bank,AR,812910,Limited  Liability Company(LLC)
POS LLC,227 2ND ST,328 DIAGONAL RD,EL DORADO,024-165-23,03/29/2007,0.0,"POS, LLC",EDMOND,OK,18200.0,18332.96,Paid in Full,04/04/2020,First National Bank of Oklahoma,OK,621320,Limited  Liability Company(LLC)
INSIGHT PROPERTIES LLC,3151 AIRWAY AVE STE M3,3151 AIRWAY AVE STE J2,COSTA MESA,938-940-68,09/28/2005,,INSIGHT PROPERTIES LLC,Happy Valley,OR,20833.0,20910.55,Paid in Full,04/07/2021,Itria Ventures LLC,NY,236117,Limited  Liability Company(LLC)
YSA LLC,12 HARBOR IS,4343 VON KARMAN AVE STE 350,NEWPORT BEACH,988-023-55,,,YSA LLC,RICHMOND,VA,2296.0,2323.3,Paid in Full,06/23/2020,"Kabbage, Inc.",GA,445120,Limited  Liability Company(LLC)
BARAKAH LLC,8161 SAN ANGELO DR,9581 WESTWOOD DR,WESTMINSTER,107-773-08,06/08/2007,0.0,BARAKAH LLC,Renton,WA,40770.0,40997.87,Paid in Full,01/25/2021,"Bank of America, National Association",NC,447110,Limited  Liability Company(LLC)
TRIUMVIRATE LLC,21951 BROOKHURST ST,9874 RARITAN AVE,FOUNTAIN VALLEY,151-234-09,11/19/2021,2800000.0,TRIUMVIRATE LLC,Cheyenne,WY,9237.05,9317.02,Paid in Full,04/10/2021,Pinnacle Bank-Wyoming,WY,451120,Corporation
ARABELLA LLC,17162 BLUEWATER LN # 165,18340 YORBA LINDA BLVD # 107-24,YORBA LINDA,933-831-65,11/17/1997,0.0,ARABELLA LLC,Skaneateles,NY,5830.84,5884.04,Paid in Full,02/19/2021,"Square Capital, LLC",CA,812112,Limited  Liability Company(LLC)
TB THE TWINS LLC,7425 LAMPSON AVE,6022 E JACK PINE LN,ORANGE,936-751-57,01/26/2017,0.0,"TB THE TWINS, LLC",ORANGE,CA,8750.0,8861.71,Paid in Full,05/01/2020,"JPMorgan Chase Bank, National Association",IL,999990,Limited  Liability Company(LLC)
TB THE TWINS LLC,7427 LAMPSON AVE,6022 E JACK PINE LN,ORANGE,936-751-58,01/26/2017,0.0,"TB THE TWINS, LLC",ORANGE,CA,8750.0,8861.71,Paid in Full,05/01/2020,"JPMorgan Chase Bank, National Association",IL,999990,Limited  Liability Company(LLC)
CTA ENTERPRISES LLC,16221 WATSON CIR,9321 STANFORD AVE,GARDEN GROVE,107-911-25,11/19/2019,0.0,CTA ENTERPRISES LLC,Garden Grove,CA,20832.0,20929.6,Paid in Full,03/25/2021,Cross River Bank,NJ,531210,Limited  Liability Company(LLC)
CTA ENTERPRISES LLC,5231 CHADWICK DR,13362 BROOKHURST ST,GARDEN GROVE,146-621-12,08/15/2001,0.0,CTA ENTERPRISES LLC,Garden Grove,CA,20832.0,20929.6,Paid in Full,03/25/2021,Cross River Bank,NJ,531210,Limited  Liability Company(LLC)
GOSPA LLC,12610 WESTMINSTER AVE # 2C,10635 BRUNS DR,TUSTIN,938-691-08,06/27/2016,583000.0,"GO SPA, LLC",CHICAGO,IL,3700.0,3735.38,Paid in Full,04/15/2020,BMO Bank National Association,IL,812199,Limited  Liability Company(LLC)
HSIAO GROUP LLC,1687 TOPANGA,225 DEERFIELD DR,WALNUT,930-617-42,,0.0,"HSIAO-GROUP, LLC",BUFFALO GROVE,IL,104100.0,35188.77,Paid in Full,04/15/2020,"Citibank, N.A.",SD,541614,Limited  Liability Company(LLC)
DDA LLC,17150 SAN MATEO ST # 9,PO BOX 722,ZEPHYR COVE,930-294-09,04/10/2009,0.0,DDA LLC,Louisville,KY,35500.0,35765.26,Paid in Full,01/25/2021,Republic Bank & Trust Company,KY,722410,Limited  Liability Company(LLC)
BAM HOMES LLC,21851 NEWLAND ST SPC 270,135 S STATE COLLEGE BLVD STE 200,BREA,890-892-70,,,BAM HOMES LLC,Lake Oswego,OR,2417.0,2444.35,Paid in Full,02/05/2021,KeyBank National Association,OH,236118,Subchapter S Corporation
DLC ENTERPRISES LLC,17392 QUEENS LN,2650 ELM AVE STE 218,LONG BEACH,165-233-04,12/02/2016,1125000.0,DLC ENTERPRISES LLC,Lincoln,RI,16042.0,16147.16,Paid in Full,01/20/2021,Navigant CU,RI,423110,Limited  Liability Company(LLC)
HAN LLC,6262 CHINOOK AVE,6431 NAVAJO RD,WESTMINSTER,195-283-09,03/17/2026,900000.0,HAN LLC,FREEPORT,ME,32900.0,33001.85,Paid in Full,07/10/2020,Bath Savings Institution,ME,722513,Limited  Liability Company(LLC)
HAN LLC,6272 CHINOOK AVE,6431 NAVAJO RD,WESTMINSTER,195-283-10,03/17/2026,900000.0,HAN LLC,FREEPORT,ME,32900.0,33001.85,Paid in Full,07/10/2020,Bath Savings Institution,ME,722513,Limited  Liability Company(LLC)
ERA VENTURES LLC,8700 WARNER AVE,11160 WARNER AVE STE 315,FOUNTAIN VALLEY,167-371-01,08/28/2018,4000000.0,ERA VENTURES LLC,Cotto Laurel,PR,11400.0,11475.68,Paid in Full,06/24/2020,Banco Popular de Puerto Rico,PR,551114,Limited  Liability Company(LLC)
S & N COMPANY LLC,6422 DUNN DR,PO BOX 4035,WESTMINSTER,145-271-05,01/21/2016,0.0,"S N COMPANY, LLC",FLORENCE,SC,8500.0,8566.82,Paid in Full,04/12/2020,First Bank,NC,721110,Limited  Liability Company(LLC)
S & N COMPANY LLC,15942 PLYMOUTH LN,PO BOX 4035,WESTMINSTER,145-095-07,01/20/2016,0.0,"S N COMPANY, LLC",FLORENCE,SC,8500.0,8566.82,Paid in Full,04/12/2020,First Bank,NC,721110,Limited  Liability Company(LLC)
S & N COMPANY LLC,5351 OCEANUS DR,PO BOX 4035,WESTMINSTER,145-014-66,02/28/1996,0.0,"S N COMPANY, LLC",FLORENCE,SC,8500.0,8566.82,Paid in Full,04/12/2020,First Bank,NC,721110,Limited  Liability Company(LLC)
S & N COMPANY LLC,115 8TH ST,PO BOX 4035,WESTMINSTER,024-123-07,,0.0,"S N COMPANY, LLC",FLORENCE,SC,8500.0,8566.82,Paid in Full,04/12/2020,First Bank,NC,721110,Limited  Liability Company(LLC)
DBS-ENTERPRISES LLC,2881 COAST CIR APT A,8820 W RUSSELL RD STE 160,LAS VEGAS,936-770-37,06/30/2022,1780000.0,DBS ENTERPRISES LLC,Camden Wyoming,DE,78692.0,79392.68,Paid in Full,03/20/2021,Northeast Bank,ME,811121,Limited  Liability Company(LLC)
SDR LLC,5902 CHINOOK DR,8861 KATELLA AVE,ANAHEIM,195-223-06,03/12/2020,770000.0,SDR LLC,GASTON,SC,13200.0,13312.83,Paid in Full,06/11/2020,Regions Bank,AL,484220,Limited  Liability Company(LLC)
SDR LLC,15421 HANOVER LN,8861 KATELLA AVE,ANAHEIM,145-151-16,,0.0,SDR LLC,GASTON,SC,13200.0,13312.83,Paid in Full,06/11/2020,Regions Bank,AL,484220,Limited  Liability Company(LLC)
SDR LLC,16691 BARTLETT LN,8861 KATELLA AVE,ANAHEIM,142-412-08,,0.0,SDR LLC,GASTON,SC,13200.0,13312.83,Paid in Full,06/11/2020,Regions Bank,AL,484220,Limited  Liability Company(LLC)
SDR LLC,6561 SORENTO CIR,18437 STONEGATE LN,ROWLAND HEIGHTS,145-181-09,,0.0,SDR LLC,GASTON,SC,13200.0,13312.83,Paid in Full,06/11/2020,Regions Bank,AL,484220,Limited  Liability Company(LLC)
CMR INVESTMENTS LLC,280 CAGNEY LN APT 115,1 PROSPECTOR DR,PARK CITY,930-775-73,03/13/2026,810000.0,"CMR INVESTMENTS, LLC",CUSTER,SD,20029.0,20041.07,Paid in Full,04/10/2020,Black Hills FCU,SD,531210,Limited  Liability Company(LLC)
ARABELLA LLC,17162 BLUEWATER LN # 165,18340 YORBA LINDA BLVD # 107-24,YORBA LINDA,933-831-65,11/17/1997,0.0,"ARABELLA, LLC",Glen Arbor,MI,3379.0,3400.11,Paid in Full,04/27/2020,Honor Bank,MI,453220,Limited  Liability Company(LLC)
ATN LLC,18586 GARNET LN,18586 GRANITE AVE # K,RIVERSIDE,111-391-59,02/13/2020,0.0,"ATN, LLC",NORFOLK,NE,17600.0,17694.03,Paid in Full,06/23/2020,Elkhorn Valley Bank & Trust,NE,453998,Corporation
POSEIDON ENTERPRISES LLC,16891 CORAL CAY LN,14269 FERN AVE,CHINO,178-653-19,02/17/2005,0.0,POSEIDON ENTERPRISES LLC,Hillsborough,NJ,6070.0,6109.99,Paid in Full,03/17/2021,"JPMorgan Chase Bank, National Association",OH,561790,Limited  Liability Company(LLC)
HB LLC,9472 RAMBLER DR,16340 75TH PL W,EDMONDS,149-053-07,06/04/2019,1127000.0,HB LLC,LAS VEGAS,NV,34923.0,35225.35,Paid in Full,04/15/2020,"Bank of America, National Association",NC,442210,Corporation
ARES INVESTMENT GROUP LLC,7755 CENTER AVE,1683 SUNFLOWER AVE STE B,COSTA MESA,142-342-17,09/18/2023,42000000.0,"ARES INVESTMENT GROUP, LLC",Reno,NV,24000.0,24352.0,Paid in Full,07/20/2020,MBE Capital Partners,NJ,531390,Limited  Liability Company(LLC)
ARES INVESTMENT GROUP LLC,7777 CENTER AVE,1683 SUNFLOWER AVE STE B,COSTA MESA,142-342-20,09/18/2023,42000000.0,"ARES INVESTMENT GROUP, LLC",Reno,NV,24000.0,24352.0,Paid in Full,07/20/2020,MBE Capital Partners,NJ,531390,Limited  Liability Company(LLC)
ARES INVESTMENT GROUP LLC,7767 CENTER AVE,1683 SUNFLOWER AVE STE B,COSTA MESA,142-342-15,09/18/2023,42000000.0,"ARES INVESTMENT GROUP, LLC",Reno,NV,24000.0,24352.0,Paid in Full,07/20/2020,MBE Capital Partners,NJ,531390,Limited  Liability Company(LLC)
ARES INVESTMENT GROUP LLC,7711 CENTER AVE,1683 SUNFLOWER AVE STE B,COSTA MESA,142-342-16,09/18/2023,42000000.0,"ARES INVESTMENT GROUP, LLC",Reno,NV,24000.0,24352.0,Paid in Full,07/20/2020,MBE Capital Partners,NJ,531390,Limited  Liability Company(LLC)
PALACE PROPERTIES LLC,755 W 17TH ST STE I,1575 PLACENTIA AVE,NEWPORT BEACH,939-831-09,12/12/2014,375000.0,PALACE PROPERTIES LLC,AURORA,IL,7200.0,7289.75,Paid in Full,04/15/2020,"Associated Bank, National Association",WI,531110,Limited  Liability Company(LLC)
LEE BROTHERS LLC,7042 KEARNY DR,18685 SANTA IRENE ST,FOUNTAIN VALLEY,111-130-36,09/25/2003,,LEE BROTHERS LLC,Hanston,KS,20800.0,20875.11,Paid in Full,01/21/2021,Bank of Hays,KS,111199,Limited  Liability Company(LLC)
A & D LLC,5821 VIEW CIR,18055 BUSHARD ST,FOUNTAIN VALLEY,146-312-13,05/18/2021,0.0,A&D LLC,TONGANOXIE,KS,3500.0,3524.6,Paid in Full,06/30/2020,First State Bank and Trust,KS,447110,Limited  Liability Company(LLC)
KC GROUP LLC,15301 PACIFIC ST,10252 AVENIDA CINCO DE MAYO,FOUNTAIN VALLEY,142-052-10,11/16/2022,820000.0,K & C GROUP LLC.,Omaha,NE,11777.0,11904.58,Paid in Full,04/15/2020,WebBank,UT,454110,Corporation
ARABELLA LLC,17162 BLUEWATER LN # 165,18340 YORBA LINDA BLVD # 107-24,YORBA LINDA,933-831-65,11/17/1997,0.0,ARABELLA  LLC,Winter Park,FL,12100.0,12192.43,Paid in Full,02/17/2021,Fifth Third Bank,OH,448120,Limited  Liability Company(LLC)
COVE CAPITAL LLC,2230 PACIFIC AVE APT A,172 SIDNEY BAY DR,NEWPORT COAST,935-840-24,06/29/2023,3400000.0,"COVE CAPITAL, LLC",Boca Raton,FL,8750.0,8844.93,Paid in Full,06/12/2020,Celtic Bank Corporation,UT,236115,Limited  Liability Company(LLC)
COVE CAPITAL LLC,2230 PACIFIC AVE APT B,172 SIDNEY BAY DR,NEWPORT COAST,935-840-25,,0.0,"COVE CAPITAL, LLC",Boca Raton,FL,8750.0,8844.93,Paid in Full,06/12/2020,Celtic Bank Corporation,UT,236115,Limited  Liability Company(LLC)
COVE CAPITAL LLC,2230 PACIFIC AVE APT C,172 SIDNEY BAY DR,NEWPORT COAST,935-840-26,,0.0,"COVE CAPITAL, LLC",Boca Raton,FL,8750.0,8844.93,Paid in Full,06/12/2020,Celtic Bank Corporation,UT,236115,Limited  Liability Company(LLC)
COVE CAPITAL LLC,2230 PACIFIC AVE APT D,172 SIDNEY BAY DR,NEWPORT COAST,935-840-27,,0.0,"COVE CAPITAL, LLC",Boca Raton,FL,8750.0,8844.93,Paid in Full,06/12/2020,Celtic Bank Corporation,UT,236115,Limited  Liability Company(LLC)
COVE CAPITAL LLC,2230 PACIFIC AVE,172 SIDNEY BAY DR,NEWPORT COAST,935-840-28,,0.0,"COVE CAPITAL, LLC",Boca Raton,FL,8750.0,8844.93,Paid in Full,06/12/2020,Celtic Bank Corporation,UT,236115,Limited  Liability Company(LLC)
JJ HOLDINGS LLC,20331 BLUFFSIDE CIR # A204,6000 HACKBERRY CT,FRISCO,936-178-59,12/12/2019,0.0,JJ HOLDINGS LLC,LAFAYETTE,LA,36200.0,36474.72,Paid in Full,04/04/2020,Gulf Coast Bank,LA,722513,Limited  Liability Company(LLC)
ERA VENTURES LLC,8700 WARNER AVE,11160 WARNER AVE STE 315,FOUNTAIN VALLEY,167-371-01,08/28/2018,4000000.0,ERA VENTURES LLC,COTO LAUREL,PR,16500.0,16619.17,Paid in Full,01/29/2021,Banco Popular de Puerto Rico,PR,541611,Limited  Liability Company(LLC)
ARABELLA LLC,17162 BLUEWATER LN # 165,18340 YORBA LINDA BLVD # 107-24,YORBA LINDA,933-831-65,11/17/1997,0.0,ARABELLA LLC,Glen Arbor,MI,3379.0,3411.85,Paid in Full,01/19/2021,Honor Bank,MI,453220,Limited  Liability Company(LLC)
TR ENTERPRISE LLC,17090 SAN BRUNO ST # 13,18627 BROOKHURST ST # 445,FOUNTAIN VALLEY,930-295-35,02/04/2009,0.0,"T & R ENTERPRISE, LLC",BOONE,NC,35600.0,35994.04,Paid in Full,04/28/2020,Skyline National Bank,VA,561499,Limited  Liability Company(LLC)
TR ENTERPRISE LLC,10200 LA HACIENDA AVE # 1,18627 BROOKHURST ST # 445,FOUNTAIN VALLEY,930-294-01,10/08/2002,0.0,"T & R ENTERPRISE, LLC",BOONE,NC,35600.0,35994.04,Paid in Full,04/28/2020,Skyline National Bank,VA,561499,Limited  Liability Company(LLC)
PHAM FAMILY LLC,7192 MAIN ST # 10,9800 NEWVILLE AVE,DOWNEY,939-100-16,04/05/2007,0.0,"PHAM FAMILY, LLC",TUCKER,GA,36424.0,36914.98,Paid in Full,05/01/2020,"Bank of America, National Association",NC,561499,Limited  Liability Company(LLC)
JBH LLC,711 W 17TH ST # 19,18331 E SANTA CLARA AVE,NORTH TUSTIN,939-830-19,03/16/2000,0.0,JBH LLC,Falls Church,VA,20800.0,21090.62,Paid in Full,05/19/2020,Atlantic Union Bank,VA,531210,Limited  Liability Company(LLC)
PALACE PROPERTIES LLC,755 W 17TH ST STE I,1575 PLACENTIA AVE,NEWPORT BEACH,939-831-09,12/12/2014,375000.0,"PALACE PROPERTIES, LLC",HUNTINGTON,WV,46500.0,47101.92,Paid in Full,04/07/2020,United Bank,VA,531110,Limited  Liability Company(LLC)
RCP ENTERPRISES LLC,1688 TOPANGA,135 VIA YELLA,NEWPORT BEACH,930-617-47,,,"RCP ENTERPRISES, LLC",Johnston,RI,7155.0,7205.14,Paid in Full,04/28/2020,"TD Bank, National Association",DE,236220,Limited  Liability Company(LLC)
DBS-ENTERPRISES LLC,2881 COAST CIR APT A,8820 W RUSSELL RD STE 160,LAS VEGAS,936-770-37,06/30/2022,1780000.0,DBS ENTERPRISES LLC,Miller,SD,14407.5,14493.16,Paid in Full,04/08/2021,First Dakota National Bank,SD,236220,Limited  Liability Company(LLC)
JBH LLC,711 W 17TH ST # 19,18331 E SANTA CLARA AVE,NORTH TUSTIN,939-830-19,03/16/2000,0.0,JBH LLC,DALTON,PA,28067.0,28378.86,Paid in Full,04/29/2020,The Honesdale National Bank,PA,722511,Sole Proprietorship
LA COLONIA LLC,9436 LA COLONIA AVE,16101 WALKER CIR,WESTMINSTER,167-163-19,03/02/2020,0.0,LA COLONIA LLC,Suitland,MD,29600.0,29901.76,Paid in Full,06/12/2020,Atlantic Union Bank,VA,445110,Limited  Liability Company(LLC)
BW & ASSOCIATES LLC,1200 RUTLAND RD # 25,2 PACIFIC WINDS,NEWPORT COAST,934-180-25,09/02/2022,0.0,B&W ASSOCIATES LLC,Aurora,CO,5800.0,5816.59,Paid in Full,03/26/2021,"Newtek Small Business Finance, Inc.",NY,334220,Corporation
ARES INVESTMENT GROUP LLC,7755 CENTER AVE,1683 SUNFLOWER AVE STE B,COSTA MESA,142-342-17,09/18/2023,42000000.0,ARES INVESTMENT GROUP LLC,Reno,NV,20832.0,20887.93,Paid in Full,04/06/2021,"Readycap Lending, LLC",NJ,531390,Limited  Liability Company(LLC)
ARES INVESTMENT GROUP LLC,7777 CENTER AVE,1683 SUNFLOWER AVE STE B,COSTA MESA,142-342-20,09/18/2023,42000000.0,ARES INVESTMENT GROUP LLC,Reno,NV,20832.0,20887.93,Paid in Full,04/06/2021,"Readycap Lending, LLC",NJ,531390,Limited  Liability Company(LLC)
ARES INVESTMENT GROUP LLC,7767 CENTER AVE,1683 SUNFLOWER AVE STE B,COSTA MESA,142-342-15,09/18/2023,42000000.0,ARES INVESTMENT GROUP LLC,Reno,NV,20832.0,20887.93,Paid in Full,04/06/2021,"Readycap Lending, LLC",NJ,531390,Limited  Liability Company(LLC)
ARES INVESTMENT GROUP LLC,7711 CENTER AVE,1683 SUNFLOWER AVE STE B,COSTA MESA,142-342-16,09/18/2023,42000000.0,ARES INVESTMENT GROUP LLC,Reno,NV,20832.0,20887.93,Paid in Full,04/06/2021,"Readycap Lending, LLC",NJ,531390,Limited  Liability Company(LLC)
AGHA LLC,7852 RONALD DR,16 GENEVE,NEWPORT BEACH,165-302-12,06/30/2021,0.0,AGHA LLC,Blauvelt,NY,49745.0,50070.0,Paid in Full,01/30/2021,"JPMorgan Chase Bank, National Association",OH,424120,Limited  Liability Company(LLC)
GOSPA LLC,12610 WESTMINSTER AVE # 2C,10635 BRUNS DR,TUSTIN,938-691-08,06/27/2016,583000.0,GO SPA LLC,Chicago,IL,5557.5,5598.31,Paid in Full,01/20/2021,BMO Bank National Association,IL,812199,Limited  Liability Company(LLC)
